name,artist_count,track_id,popularity,year,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Space Agency,2,26HrKNmaFAtaIBTFeLyJ8a,0,2022,0,0.544,0.48,9.0,-11.491,0.0,0.0686,0.515,0.0639,0.322,0.603,139.929,audio_features,26HrKNmaFAtaIBTFeLyJ8a,spotify:track:26HrKNmaFAtaIBTFeLyJ8a,https://api.spotify.com/v1/tracks/26HrKNmaFAtaIBTFeLyJ8a,https://api.spotify.com/v1/audio-analysis/26HrKNmaFAtaIBTFeLyJ8a,225627.0,3.0
Thunder Storm Fart,3,2Jc1w2gwzCjIrpWcgLLHom,0,2022,0,0.728,0.517,7.0,-8.936,0.0,0.0465,0.707,0.69,0.114,0.57,119.762,audio_features,2Jc1w2gwzCjIrpWcgLLHom,spotify:track:2Jc1w2gwzCjIrpWcgLLHom,https://api.spotify.com/v1/tracks/2Jc1w2gwzCjIrpWcgLLHom,https://api.spotify.com/v1/audio-analysis/2Jc1w2gwzCjIrpWcgLLHom,484390.0,4.0
Track Of The Month - intro (ESRD),1,1SePdBeAxEYUcwXi6vio9H,0,2022,0,,,,,,,,,,,,,,,,,,
Track Of The Month - intro (ESRD),1,7fuEuEPEeEvASAd8FzV4Yi,0,2022,0,,,,,,,,,,,,,,,,,,
Track Of The Month - intro (ESRD),1,1uY2xQ7XlZICNzaXZ6kpri,0,2022,0,,,,,,,,,,,,,,,,,,
Track Of The Month - intro (ESRD),1,17vvorcDtfltbe9vRy0qzC,0,2022,0,,,,,,,,,,,,,,,,,,
Track Of The Month - Intro (ESRD),1,7p2Chcer3RBa9ZfkQYxiw6,0,2022,0,,,,,,,,,,,,,,,,,,
Telephone Chalwa Riddim - 420 Live,1,5IpBNic6P3pVJVKEUYgDBg,0,2022,0,0.727,0.513,2.0,-11.418,1.0,0.132,0.407,0.819,0.236,0.658,164.076,audio_features,5IpBNic6P3pVJVKEUYgDBg,spotify:track:5IpBNic6P3pVJVKEUYgDBg,https://api.spotify.com/v1/tracks/5IpBNic6P3pVJVKEUYgDBg,https://api.spotify.com/v1/audio-analysis/5IpBNic6P3pVJVKEUYgDBg,191291.0,4.0
10th Day Of Atonement - Instrumental,1,0qVYtKuOGqXcIZhFAdxoqp,0,2022,0,0.643,0.414,10.0,-12.014,0.0,0.0304,0.0565,0.918,0.0643,0.33,125.024,audio_features,0qVYtKuOGqXcIZhFAdxoqp,spotify:track:0qVYtKuOGqXcIZhFAdxoqp,https://api.spotify.com/v1/tracks/0qVYtKuOGqXcIZhFAdxoqp,https://api.spotify.com/v1/audio-analysis/0qVYtKuOGqXcIZhFAdxoqp,245812.0,4.0
Chapter 1 - Dance Me to the End - Ten Months and Ten Days with ALS,2,1fOVszkawUR3gSVjyHruKj,0,2022,0,0.694,0.255,10.0,-17.135,1.0,0.91,0.401,0.0,0.0801,0.34,83.677,audio_features,1fOVszkawUR3gSVjyHruKj,spotify:track:1fOVszkawUR3gSVjyHruKj,https://api.spotify.com/v1/tracks/1fOVszkawUR3gSVjyHruKj,https://api.spotify.com/v1/audio-analysis/1fOVszkawUR3gSVjyHruKj,182441.0,4.0
